Activos,RANKING
961,0.002890149642016943
952,0.0028573851795161646
974,0.002758092189874379
999,0.0026963934416943175
957,0.002620308908381621
971,0.0026177557388026404
998,0.00258556511877249
993,0.0025634999413904286
991,0.0025348278614018426
963,0.002502695346542286
984,0.0024957429914919498
994,0.0024825916227845263
926,0.002432997567880319
937,0.002423463143901112
965,0.0024081606492715236
970,0.0024081606492715236
992,0.002392024007188167
995,0.0023843573063060232
986,0.0023842948698003983
925,0.002381438620453433
938,0.002378893606165939
985,0.0023710178115468796
968,0.0023576006030995235
978,0.002335362082486344
953,0.002333354517772935
996,0.0023258276585071376
949,0.002320803141338103
912,0.002315289507973847
958,0.0023143520188775276
981,0.002307065932428338
951,0.0023045939640330758
960,0.0022859671313721483
933,0.002285084975771943
987,0.0022805750689617703
923,0.002262176989508663
972,0.0022589271036499705
964,0.0022433380373423854
983,0.0022381867477486153
940,0.0022332254836200517
919,0.002229652602538696
955,0.0022278548504335357
916,0.002217101302584452
942,0.0022062954371824335
930,0.0022023089340689776
1000,0.002198482079068999
956,0.002191917728161544
910,0.002191888377564489
962,0.0021872936319225953
959,0.0021783958400869844
990,0.002173113450383675
975,0.002161946510770558
969,0.0021571875211137377
973,0.0021496352863471253
966,0.0021422179449983847
988,0.002140015684310583
943,0.0021327466975790605
945,0.002117971474613718
946,0.002112423553747967
879,0.002106890300156754
989,0.0021053565004851968
920,0.002101493179758315
866,0.002095857920207513
855,0.0020917191180287223
976,0.0020726979173831543
941,0.0020308321833318703
889,0.002024114258453789
905,0.0020223067759785303
929,0.002017618378118822
950,0.0020164337068319525
909,0.002015057750534151
917,0.0020130630292133716
967,0.002011126635263398
903,0.002007987061400755
922,0.001996296024455352
921,0.0019838796179189795
997,0.001979509085758882
979,0.0019722191313421636
977,0.0019717799483711133
900,0.0019655846106549023
980,0.001964050810983345
954,0.001963739248862611
894,0.001959660759858572
913,0.0019489086380545652
944,0.0019414492390223805
906,0.001934905901632586
893,0.0019320476616107604
760,0.0018846129931760654
931,0.0018564919807973973
924,0.0018509612054817782
935,0.0018420926877626338
982,0.0018393256310382745
911,0.0018387855717620137
928,0.001833987620444286
892,0.0018202227934537838
934,0.0018045692356050353
877,0.001793731929987216
774,0.0017850792307176717
948,0.0017838701618433622
915,0.001780053103345372
914,0.001776155073983189
901,0.0017586330255746523
841,0.001744444978133148
823,0.0017378112499605123
882,0.0017274107082949366
850,0.001716717145188736
846,0.0017162448928280405
947,0.0017136881265837217
918,0.001701967735391037
865,0.0017010921627828516
799,0.0016926543128616973
908,0.0016847923391978444
907,0.0016822405641904567
815,0.0016629438547435755
939,0.001659144981898292
778,0.0016551308607040988
761,0.0016530210812893116
852,0.0016408465186786463
867,0.0016276315883532616
607,0.0016260425685551366
885,0.0016233149775257286
839,0.0016172786501160528
891,0.0016012498001436672
772,0.0015884582986953322
725,0.0015855981786913724
876,0.0015769401531991174
827,0.0015734402111756685
780,0.0015719156360300833
856,0.0015601362215188804
755,0.001552761949239948
788,0.0015524708581410897
870,0.0015489267302066932
618,0.0015475822316521183
652,0.0015427636032449364
904,0.0015403184805189078
808,0.0015362135334589465
895,0.0015316875636537505
854,0.0015301650041278942
936,0.0015260076127552589
687,0.0015147983546322055
927,0.001513413606311934
872,0.0015114032780490947
765,0.0015111614341233874
752,0.0015009949878437626
756,0.0014881984693601727
902,0.0014798945001037193
515,0.001473015104575241
890,0.0014720989341140904
615,0.0014706425873964588
898,0.001467673248029584
795,0.0014670744169450565
886,0.001465492031507566
932,0.0014626763489412867
871,0.001461463419355124
814,0.001454178219960178
705,0.0014482478837978686
845,0.0014476882540146977
887,0.0014451688876764726
627,0.0014449917632118612
720,0.0014423212446783048
697,0.00144229160920446
533,0.0014421100185285152
864,0.0014408745905741102
875,0.0014401234028222425
